,Y,OBJECTID,ID,ID_1,LabelID,STATUS,LOCATION,CORRIDOR,CATEGORY,INSET,CATS,DESCRIPTION
1463243.643,550936.6696,81,27,27,27,FUNDED,New CATS LYNX BLE Flyover,NCRR/NS/CATS,CRISP,1,1," Blue Line Extension, light rail flyover structure of NS freight tracks and future NCDOT North End Passenger Bypass tracks.  Estimated completion: 2017."
1480473.75,558499.0627,82,19,19,19,COMPLETED,Old Concord Rd. (SR 2939) /Newell-Hickory Grove Rd. Intersection (SR 2853),NCRR/NS,CDOT/NCDOT MOU,,,Decision to construct Grier Rd. Overpass at NCRR/NS Rail Line as part of the Double Track Project negated intersection improvements at this location; the Newell-Hickory Grove Rd. crossing of the NCRR/NS Rail Line will close by the end of 2016.
1489293.416,572412.5834,83,1,1,1,COMPLETED,Back Creek Church Rd.(SR 2827),NCRR/NS,CDOT/NCDOT MOU,,,Improved Intersection and Upgraded Crossing Infrastructure
1430493.828,541088.1977,84,41,41,41,UNFUNDED,New Wye at Charlotte Junction,NS,CRISP,,,Construction of new track in southern quadrant to create turning wye for trains.  Passenger trains serving Gateway Center will turn at this location for northbound return trips.  Freight trains will turn at this location for access to and from Charleston/
1414805.611,535092.1577,85,10,10,10,COMPLETED,Norfolk Southern Intermodal Terminal at CDIA,NS,CRISP,,,New facility to replace former facility at Uptown Yard; Facility Open
1487416.09,571437.7409,86,31,31,31,FUNDED,Bridge for NCRR over the Eastern Circumferential Road,NCRR/NS,OTHER,,,Bridge under construction to allow for future Eastern Circumferential Road to pass under NCRR/NS Mainline track.  Project to be completed in 2017.  Project paid for by City. 
1484485.611,565577.0952,87,2,2,2,COMPLETED,McLean Rd.,NCRR/NS,CDOT/NCDOT MOU,,,Upgraded Crossing Infrastructure
1421111.871,561137.5571,88,18,18,18,COMPLETED,NCDOT Thrift Depot,CSXT,OTHER,,,Depot relocation to occur in spring 2016.
1449726.31,546643.8171,89,36,36,36,UNFUNDED,Johnson St.,CSXT,CDOT/NCDOT MOU,1,,Crossing cannot be closed until such time as the CSXT/NS Mainline Grade Separation Project is implemented; that project is currently unfunded.
1463346.083,551022.1665,90,21,21,21,COMPLETED,Craighead Rd.,NCRR/NS/CATS,CDOT/NCDOT MOU/CRISP,1,1,Crossing will close upon completion of the E. Sugar Creek Rd. Grade Separation project; Awaiting City Council Crossing Closure Agreement Action in 2016.  
1457656.337,548337.5765,91,25,25,25,COMPLETED,CATS South Corridor,NS/CATS,Transit Corridor System Plan,2,1,Project opened for revenue service
1444560.015,540755.369,92,23,23,23,PARTIALLY FUNDED,Charlotte Rail and Locomotive Maintenance Facility,NS,CRISP,,,"This project involves constructing a facility to service state-owned and supported passenger trains during Charlotte layovers. A future phase will accommodate longer, higher-speed trains. The funded Phase 1A,  opposite Charlotte Pipe and Foundry, will inc"
1429558.932,539960.5434,93,35,35,35,UNFUNDED,Seymour Dr.,NS,CDOT/NCDOT MOU,,,"Crossing infrastructure will be upgraded in conjunction with improvements to the connection between the ""R"" Line (which goes to Columbia) and the NS Mainline near Morris Field Dr. and Wilkinson Blvd."
1453814.745,550558.1996,94,63,63,63,UNFUNDED,Woodward Ave.,NS,Other,,,Remove bridge over former NS Spur adjacent to Camp North End.
1455038.375,546478.9865,95,43,43,43,UNFUNDED,North End Passenger Bypass,NCRR/NS,CRISP,,,Bypass of NS freight yard with double track dedicated passenger rail corridor for future commuter and intercity services.  New Railroad Bridge over Tryon Street and new railroad flyover at south end of old NCRR Yard.
1409454.5,544504.6665,96,46,46,46,UNFUNDED,Old Dowd Rd.  (SR 1191) Grade Separation,NS,OTHER,,,Relocation and grade separation of Old Dowd Rd. and NS west of I-485.  Project has been submitted to NCDOT for SPOT4.0 evaluation.
1424065.444,562215.3909,97,9,9,9,COMPLETED,Kenstead Cir.,CSXT,CDOT/NCDOT MOU,,,Crossing Closed
1465310.668,551348.0196,98,20,20,20,COMPLETED,East Sugar Creek Rd. (SR 2975),NCRR/NS/CATS,CDOT/NCDOT MOU/CRISP,1,1,At grade crossing is closed.  Grade Separation under construction; anticipated completion by fall 2018.
1428764.786,563066.3121,99,37,37,37,UNFUNDED,Rozzelles Ferry Rd. (SR 1784)/ Toddville Rd. Intersection,CSXT,CDOT/NCDOT MOU,,,Project has been submitted to NCDOT for SPOT4.0 intersection improvement funding evaluation.
1457942.021,548992.0077,100,42,42,42,UNFUNDED,NS Mainline North End Track Improvements,NCRR/NS,CRISP,,,"Construction of third NS mainline track, relocation and modifications of yard tracks, installation of new track crossovers and signals."
1438700.25,541106.0002,101,34,34,34,UNFUNDED,Berryhill Rd. ,NS,CDOT/NCDOT MOU,,,Significant public opposition to closure during public involvement phase; no further action taken to date.
